numBedrooms,price,latitude,longitude
2,1400,37.6426436,-122.4621379
2,1400,37.6426436,-122.4621379
2,2000,37.642653,-122.446826
2,2895,37.6426539,-122.446825
3,2700,37.6426855,-122.4620172
4,2800,37.6427604,-122.4621883
4,2800,37.6427604,-122.4621883
4,2800,37.6427604,-122.4621883
4,2800,37.6427972,-122.4620817
4,2800,37.6427972,-122.4620817
2,1450,37.6430773,-122.45858
1,1390,37.643348,-122.426458
1,1350,37.643348,-122.426458
3,2295,37.643366,-122.46599
3,2100,37.643366,-122.46599
3,2295,37.643366,-122.46599
2,1800,37.6434019,-122.4649831
3,2800,37.6434019,-122.4649831
3,2700,37.6434019,-122.4649831
3,2550,37.6434019,-122.4649831
3,2398,37.6434582,-122.4320816
1,1850,37.6434669,-122.4528669
2,2400,37.6434669,-122.4528669
3,2550,37.6434669,-122.4528669
3,2900,37.6434669,-122.4528669
3,3000,37.6434669,-122.4528669
3,2900,37.6434669,-122.4528669
3,2600,37.6434669,-122.4528669
3,2900,37.6434669,-122.4528669
3,2750,37.6434669,-122.4528669
3,3000,37.6434669,-122.4528669
4,2800,37.643594,-122.456928
4,2700,37.643603,-122.437894
4,2700,37.643603,-122.437894
4,2700,37.643603,-122.437894
4,2950,37.643603,-122.437894
4,2950,37.643603,-122.437894
4,2950,37.643603,-122.437894
4,1000,37.643603,-122.437894
4,2950,37.643603,-122.437894
4,2700,37.643603,-122.437894
3,2900,37.6436696,-122.4367013
3,3950,37.6437486,-122.427725
3,3200,37.6437486,-122.427725
3,3200,37.6437486,-122.427725
3,3200,37.6437486,-122.427725
4,2950,37.6437539,-122.4380209
1,1390,37.643959,-122.427012
1,1375,37.643959,-122.427012
1,1300,37.643959,-122.427012
1,1225,37.643959,-122.427012
1,1390,37.643959,-122.427012
2,1475,37.643959,-122.427012
3,2295,37.6440357,-122.4643131
3,2350,37.6440357,-122.4643131
3,2350,37.6440357,-122.4643131
3,2295,37.6440357,-122.4643131
3,2295,37.6440357,-122.4643131
2,1965,37.6440389,-122.4928004
2,1850,37.644166,-122.471597
3,3500,37.6442113,-122.490058
2,2500,37.644319,-122.454289
2,2800,37.644319,-122.454289
3,2300,37.644376,-122.46449
3,2300,37.644376,-122.46449
3,2300,37.644376,-122.46449
2,2800,37.644538,-122.45188
3,2800,37.644652,-122.441025
1,1350,37.64488,-122.429034
1,1350,37.64488,-122.429034
1,1425,37.6448884,-122.4290377
2,2300,37.644985,-122.468181
2,2750,37.644985,-122.468181
2,2200,37.644985,-122.468181
2,2290,37.644985,-122.468181
2,2750,37.644985,-122.468181
2,2250,37.644985,-122.468181
2,2350,37.644985,-122.468181
3,2595,37.645074,-122.4338285
3,2595,37.645074,-122.4338285
1,1450,37.6450767,-122.4294345
1,1450,37.6450767,-122.4294345
4,2700,37.645215,-122.423414
2,1595,37.645252,-122.488643
3,2795,37.6454065,-122.4357382
3,2795,37.6454065,-122.4357382
3,2695,37.6454065,-122.4357382
3,2595,37.645408,-122.4638733
3,2595,37.645408,-122.4638733
4,2895,37.645685,-122.461772
4,2650,37.6457195,-122.4593355
4,2800,37.6458476,-122.4630499
2,1595,37.645866,-122.472626
2,1795,37.6459275,-122.4276637
1,1775,37.6460014,-122.4274836
1,1775,37.6460014,-122.4274836
2,1795,37.6460014,-122.4274836
3,1980,37.6460029,-122.47132
0,2425,37.6461081,-122.4779761
1,1650,37.6461081,-122.4779761
1,1500,37.6461081,-122.4779761
1,1650,37.6461081,-122.4779761
1,1650,37.6461081,-122.4779761
1,1650,37.6461081,-122.4779761
1,1650,37.6461081,-122.4779761
2,1975,37.6461081,-122.4779761
3,3000,37.6461081,-122.4779761
2,1595,37.6461586,-122.470872
3,2200,37.6462597,-122.4766972
3,2500,37.64626,-122.486375
3,2500,37.6463,-122.4864
3,875,37.646319,-122.454929
3,1250,37.646319,-122.454929
4,3200,37.6463696,-122.4613715
2,2400,37.646408,-122.456395
2,2400,37.646408,-122.456395
4,2650,37.6465407,-122.4594239
4,2700,37.6465873,-122.4650805
4,2700,37.6465873,-122.4650805
2,1650,37.646617,-122.480616
2,1850,37.6467138,-122.4805443
2,1750,37.6467138,-122.4805443
2,1850,37.6467138,-122.4805443
2,1750,37.6467138,-122.4805443
2,1950,37.6467138,-122.4805443
2,1850,37.6467138,-122.4805443
2,1750,37.6467138,-122.4805443
2,1750,37.6467138,-122.4805443
2,1750,37.6467138,-122.4805443
2,1800,37.646782,-122.4564844
